attack_method,dataset,number,ground_truth,software_output,BLEU,Meteor,BERTScore,InferSent,InferSent_dis,SBERT,SBERT_dis,SimCSE,SimCSE_dis,NC,NBC,TKNC,BKNC,SemEval,SynEval,,adv_text,ori_text,fluency,consistency,label,difficulty
bae,mnli,192,0,2,0.707106781,0.881944444,0.8354528,0.8690942,0.976486339,0.7570064,4.324011029,0.8459731,0.55502607,0.457532051,0.844250801,0.9375,0.943910256,0.858788985,0.094187729,,[[[[Premise]]]]: Starting from [[being]]>>>>[[[[Hypothesis]]]]: Hanging on to what we have.,[[[[Premise]]]]: Starting from [[Scratch]]>>>>[[[[Hypothesis]]]]: Hanging on to what we have.,1.0,2.3333333333333335,0.0,2.75
pso,mnli,183,2,0,0.793755921,0.907032136,0.9526057,0.9730854,0.602146637,0.9861755,1.102755906,0.9660595,0.260540444,0.462339744,0.84385016,0.920673077,0.925480769,0.881393731,0.270766433,,[[[[Premise]]]]: Arafat is also ailing and has no clear successor.>>>>[[[[Hypothesis]]]]: Arafat is [[exactly]] ailing and has no [[distinguishable]] successor that is willing to wear his hats.,[[[[Premise]]]]: Arafat is also ailing and has no clear successor.>>>>[[[[Hypothesis]]]]: Arafat is [[also]] ailing and has no [[clear]] successor that is willing to wear his hats.,2.0,3.6666666666666665,2.0,2.5
pso,mnli,214,0,2,0.906187443,0.959722222,0.9710339,0.94608754,0.784357555,0.95603186,1.560966149,0.95335025,0.305449692,0.458733974,0.84385016,0.966746795,0.96875,0.615607333,0.137067903,,[[[[Premise]]]]: and for regular readers who are a bit confused about our schedule (and who can blame them?)>>>>[[[[Hypothesis]]]]: who can blame who greatly [[criticizes]] our schedule?,[[[[Premise]]]]: and for regular readers who are a bit confused about our schedule (and who can blame them?)>>>>[[[[Hypothesis]]]]: who can blame who greatly [[appreciates]] our schedule?,1.75,1.6666666666666667,1.0,3.0
pso,mnli,344,1,0,0.948661035,0.977223561,0.983629,0.9655034,0.694849083,0.98729116,0.771569758,0.9611232,0.278843445,0.459234776,0.845252404,0.961538462,0.961939103,0.903186148,0.269362816,,"[[[[Premise]]]]: Under the leadership of Henry the Navigator, caravels set out from the westernmost point of the Algarve, in southern Portugal, in search of foreign lands, fame, and wealth.>>>>[[[[Hypothesis]]]]: Expeditions [[dismissed]] the Algarve in southern Portugal in order to discover new countries and create fortunes.","[[[[Premise]]]]: Under the leadership of Henry the Navigator, caravels set out from the westernmost point of the Algarve, in southern Portugal, in search of foreign lands, fame, and wealth.>>>>[[[[Hypothesis]]]]: Expeditions [[left]] the Algarve in southern Portugal in order to discover new countries and create fortunes.",2.6666666666666665,1.6666666666666667,0.0,2.3333333333333335
alzantot,mnli,292,0,2,0.585659603,0.736111111,0.89536345,0.9198306,0.948854587,0.96805584,1.603022872,0.9016948,0.443407674,0.463942308,0.842247596,0.945913462,0.941907051,0.85813216,0.211550394,,"[[[[Premise]]]]: Good-bye."" Julius was [[bent]] over the car.>>>>[[[[Hypothesis]]]]: Julius wouldn't [[let]] the [[home]].","[[[[Premise]]]]: Good-bye."" Julius was [[bending]] over the car.>>>>[[[[Hypothesis]]]]: Julius wouldn't [[leave]] the [[house]].",1.6666666666666667,1.5,2.0,2.6666666666666665
bae,mnli,92,0,2,0.930604859,0.922809829,0.9578305,0.91364294,1.016534644,0.9005047,2.955978464,0.88021696,0.489454867,0.464643429,0.831330128,0.813301282,0.828926282,0.791238016,0.312171758,,[[[[Premise]]]]: [[welsh]] action wouldn't have mattered.>>>>[[[[Hypothesis]]]]: British action would have made a big difference.,[[[[Premise]]]]: [[British]] action wouldn't have mattered.>>>>[[[[Hypothesis]]]]: British action would have made a big difference.,3.5,1.6666666666666667,2.0,4.0
bae,mnli,182,2,0,0.940645199,0.970480203,0.9798051,0.97763485,0.635305538,0.9461057,1.510118332,0.9291482,0.376435354,0.454927885,0.845052083,0.937099359,0.935897436,0.684169745,0.24763968,,"[[[[Premise]]]]:  The Romans [[still]] really infiltrated Ibiza, and even after the defeat of Hannibal in 202 b.c. during the Second Punic War their influence was restrained.>>>>[[[[Hypothesis]]]]: The Romans didn't infiltrate Ibiza because it wasn't valuable.","[[[[Premise]]]]:  The Romans [[never]] really infiltrated Ibiza, and even after the defeat of Hannibal in 202 b.c. during the Second Punic War their influence was restrained.>>>>[[[[Hypothesis]]]]: The Romans didn't infiltrate Ibiza because it wasn't valuable.",3.0,1.6666666666666667,0.0,4.666666666666667
bae,mnli,271,1,2,0.709810872,0.861341223,0.92138505,0.92867976,0.797753408,0.967869,1.402741522,0.9052128,0.435401498,0.45703125,0.845452724,0.955528846,0.958733974,0.766714451,0.148662656,,[[[[Premise]]]]: oh that [[could]] be [[tons]] of interesting is it>>>>[[[[Hypothesis]]]]: That sounds kinda interesting to me.,[[[[Premise]]]]: oh that [[might]] be [[kind]] of interesting is it>>>>[[[[Hypothesis]]]]: That sounds kinda interesting to me.,1.5,3.3333333333333335,1.0,2.6666666666666665
bae,mnli,107,1,0,0.937001145,0.970480203,0.992524,0.99938667,0.102148265,0.9952448,0.475650717,0.9823892,0.187674254,0.462039263,0.845052083,0.954326923,0.956330128,0.930366427,0.214510435,,"[[[[Premise]]]]: But although the [[70]] Minutes producer is played by the star (Pacino grandstands, but not to the point of distraction), Bergman's story doesn't have the same primal force.>>>>[[[[Hypothesis]]]]: Pacino plays a 60 Minutes producer.","[[[[Premise]]]]: But although the [[60]] Minutes producer is played by the star (Pacino grandstands, but not to the point of distraction), Bergman's story doesn't have the same primal force.>>>>[[[[Hypothesis]]]]: Pacino plays a 60 Minutes producer.",2.6666666666666665,2.6666666666666665,0.0,3.75
bae,mnli,93,0,2,0.961954175,0.984359253,0.98900115,0.98472506,0.507951391,0.9966675,0.338434834,0.9546658,0.301111989,0.456830929,0.842748397,0.959935897,0.962339744,0.828439087,0.202816024,,[[[[Premise]]]]: yeah that's probably a  a little bit under what it is for this time of year i i think i haven't seen the weather the news the weather on the news in the evening lately but i think the average high would be it should be about seventy>>>>[[[[Hypothesis]]]]: All I do is watch the weather channel and I'm [[not]] up to date on it.,[[[[Premise]]]]: yeah that's probably a  a little bit under what it is for this time of year i i think i haven't seen the weather the news the weather on the news in the evening lately but i think the average high would be it should be about seventy>>>>[[[[Hypothesis]]]]: All I do is watch the weather channel and I'm [[totally]] up to date on it.,1.75,2.3333333333333335,0.0,2.0
