attack_method,dataset,number,ground_truth,software_output,BLEU,Meteor,BERTScore,InferSent,InferSent_dis,SBERT,SBERT_dis,SimCSE,SimCSE_dis,NC,NBC,TKNC,BKNC,SemEval,SynEval,,adv_text,ori_text,consistency,fluency,label,difficulty
bae,snli,213,1,0,0.889526036,0.956162415,0.9760479,0.98790836,0.36455178,0.9783993,1.434733005,0.98998725,0.141511889,0.456830929,0.843149038,0.942307692,0.945512821,0.868392491,0.158107008,,[[[[Premise]]]]: The brown dog has a hold of the other dogs cheek with its [[head]].>>>>[[[[Hypothesis]]]]: The dog grabbed the other dog with his teeth.,[[[[Premise]]]]: The brown dog has a hold of the other dogs cheek with its [[teeth]].>>>>[[[[Hypothesis]]]]: The dog grabbed the other dog with his teeth.,2.3333333333333335,1.3333333333333333,1.0,2.0
bae,snli,95,0,2,0.935133484,0.928360101,0.91026735,0.86620915,1.132779214,0.9209287,2.604173653,0.94054735,0.344826501,0.459835737,0.840144231,0.843349359,0.815705128,0.845275873,0.178714648,,"[[[[Premise]]]]: A family, daughter in the middle, walks down the street.>>>>[[[[Hypothesis]]]]: the family is [[something]]","[[[[Premise]]]]: A family, daughter in the middle, walks down the street.>>>>[[[[Hypothesis]]]]: the family is [[seated]]",1.0,1.5,2.0,3.75
alzantot,snli,318,1,0,0.777811122,0.855070153,0.8573382,0.9533896,0.583816949,0.9543296,2.398652969,0.92110336,0.397232062,0.463241186,0.845252404,0.885416667,0.885016026,0.764648718,0.188845123,,[[[[Premise]]]]: A man is carrying a child on his shoulders.>>>>[[[[Hypothesis]]]]: [[une]] [[enfants]] is on a mans shoulders.,[[[[Premise]]]]: A man is carrying a child on his shoulders.>>>>[[[[Hypothesis]]]]: [[A]] [[child]] is on a mans shoulders.,4.0,2.3333333333333335,1.0,1.6666666666666667
alzantot,snli,374,1,0,0.927607703,0.956476824,0.9637057,0.9566035,0.75596683,0.985057,0.961312762,0.95809704,0.289492601,0.468048878,0.843249199,0.874599359,0.859375,0.897688919,0.307056617,,"[[[[Premise]]]]: A man and a woman are sitting at a table outside, next to a small flower garden.>>>>[[[[Hypothesis]]]]: The man and woman are [[away]].","[[[[Premise]]]]: A man and a woman are sitting at a table outside, next to a small flower garden.>>>>[[[[Hypothesis]]]]: The man and woman are [[outside]].",1.3333333333333333,3.0,2.0,3.75
bae,snli,365,2,0,0.769787476,0.898536808,0.91691613,0.94128376,0.992501544,0.9154746,2.581512963,0.9433911,0.336478728,0.463741987,0.845152244,0.885416667,0.889022436,0.84595806,0.24832221,,[[[[Premise]]]]: two [[people]] in spandex and helmets in a race [[walk]] uphill.>>>>[[[[Hypothesis]]]]: A male and a female bicyclist are [[riding]] for money as they pedal to the top of the mountain.,[[[[Premise]]]]: two [[bicyclists]] in spandex and helmets in a race [[pedaling]] uphill.>>>>[[[[Hypothesis]]]]: A male and a female bicyclist are [[racing]] for money as they pedal to the top of the mountain.,2.75,1.0,2.0,4.0
pso,snli,391,1,0,0.815355104,0.926880811,0.9518234,0.8929163,1.010183045,0.9298249,2.621144288,0.8857401,0.478037494,0.461538462,0.844150641,0.884615385,0.883012821,0.730108979,0.205475824,,[[[[Premise]]]]: A male is placing an order in a deli.>>>>[[[[Hypothesis]]]]: A [[guerrilla]] at a deli.,[[[[Premise]]]]: A male is placing an order in a deli.>>>>[[[[Hypothesis]]]]: A [[man]] at a deli.,1.0,1.6666666666666667,2.0,4.0
alzantot,snli,133,2,0,0.917317637,0.95077381,0.9738049,0.9738692,0.537270142,0.95639926,1.995772132,0.9564223,0.295220991,0.466045673,0.844250801,0.9375,0.930689103,0.858868068,0.26346991,,[[[[Premise]]]]: A baby in a bathrobe waits for his shower.>>>>[[[[Hypothesis]]]]: A baby is waiting for his mother to give him a [[toilet]].,[[[[Premise]]]]: A baby in a bathrobe waits for his shower.>>>>[[[[Hypothesis]]]]: A baby is waiting for his mother to give him a [[shower]].,2.0,1.3333333333333333,0.0,3.75
bae,snli,390,2,0,0.853357534,0.930395913,0.96964663,0.93735784,0.918652809,0.88873076,3.087025226,0.8974515,0.452876547,0.458934295,0.844751603,0.923076923,0.913862179,0.873875737,0.21379308,,"[[[[Premise]]]]: Four people [[are]] in a green field, two wearing white and two wearing red, with green bushes and trees in the background.>>>>[[[[Hypothesis]]]]: A group of people are [[rolling]] cotton.","[[[[Premise]]]]: Four people [[work]] in a green field, two wearing white and two wearing red, with green bushes and trees in the background.>>>>[[[[Hypothesis]]]]: A group of people are [[picking]] cotton.",3.5,3.3333333333333335,2.0,2.6666666666666665
alzantot,snli,298,0,2,0.766910511,0.9995,0.9420532,0.9803303,0.556427242,0.9667744,1.549969066,0.9765705,0.216469836,0.465444712,0.845653045,0.945112179,0.938701923,0.956894469,0.196054241,,"[[[[Premise]]]]: A worker in a striped orange, gray, and white t-shirt hovers over a stand that is displaying different [[kind]] of flat [[loaf]].>>>>[[[[Hypothesis]]]]: A butcher [[standing]] over his freshly cut meat.","[[[[Premise]]]]: A worker in a striped orange, gray, and white t-shirt hovers over a stand that is displaying different [[kinds]] of flat [[bread]].>>>>[[[[Hypothesis]]]]: A butcher [[stands]] over his freshly cut meat.",3.3333333333333335,2.25,0.0,2.3333333333333335
alzantot,snli,33,2,0,0.807055727,0.999314129,0.9682555,0.9528669,0.734052061,0.9732734,1.863687088,0.98300505,0.184363965,0.457632212,0.838641827,0.94150641,0.938701923,0.961289114,0.154189977,,[[[[Premise]]]]: Sidewalk [[bloom]] cart vendor.>>>>[[[[Hypothesis]]]]: Tulip vendor by the curb.,[[[[Premise]]]]: Sidewalk [[flower]] cart vendor.>>>>[[[[Hypothesis]]]]: Tulip vendor by the curb.,4.25,1.3333333333333333,2.0,3.5
bae,snli,77,1,0,0.912759211,0.965341309,0.98458606,0.9745725,0.559200646,0.9453211,2.036631055,0.9651606,0.263967396,0.468549679,0.845252404,0.961137821,0.952724359,0.905840814,0.248268092,,[[[[Premise]]]]: A baseball player is [[stepping]] into a base while the baseman is catching an incoming ball during a major league baseball game.>>>>[[[[Hypothesis]]]]: A baseball player slides into a base.,[[[[Premise]]]]: A baseball player is [[sliding]] into a base while the baseman is catching an incoming ball during a major league baseball game.>>>>[[[[Hypothesis]]]]: A baseball player slides into a base.,4.666666666666667,3.3333333333333335,1.0,3.3333333333333335
alzantot,snli,271,1,0,0.930489948,0.955309019,0.99258196,0.97341007,0.63996759,0.9563238,1.865953482,0.97085667,0.241426629,0.463241186,0.844951923,0.845352564,0.854967949,0.859942991,0.215956572,,"[[[[Premise]]]]: A man in yellow, white, and blue bicycle clothing and helmet grimaces as he rides his bicycle.>>>>[[[[Hypothesis]]]]: A man is riding a [[motorcycle]].","[[[[Premise]]]]: A man in yellow, white, and blue bicycle clothing and helmet grimaces as he rides his bicycle.>>>>[[[[Hypothesis]]]]: A man is riding a [[bicycle]].",1.6666666666666667,3.3333333333333335,1.0,4.0
bae,snli,391,1,0,0.815355104,0.926880811,0.87157404,0.95333,0.663587737,0.91936827,2.748930904,0.8574503,0.533947057,0.45703125,0.844951923,0.904647436,0.899038462,0.679591233,0.194685358,,[[[[Premise]]]]: A male is placing an order in a [[bank]].>>>>[[[[Hypothesis]]]]: A man at a deli.,[[[[Premise]]]]: A male is placing an order in a [[deli]].>>>>[[[[Hypothesis]]]]: A man at a deli.,1.3333333333333333,1.3333333333333333,2.0,4.666666666666667
bae,snli,239,1,0,0.828247753,0.931972789,0.9318603,0.924747,1.052396171,0.88813794,3.341922382,0.8611243,0.527021447,0.461638622,0.845452724,0.870192308,0.868189103,0.590986883,0.207725167,,[[[[Premise]]]]: Two young boys are in a green kayak in the [[lobby]].>>>>[[[[Hypothesis]]]]: The boys are outside.,[[[[Premise]]]]: Two young boys are in a green kayak in the [[grass]].>>>>[[[[Hypothesis]]]]: The boys are outside.,2.0,2.5,0.0,2.3333333333333335
bae,snli,52,2,0,0.876156078,0.920940171,0.9641198,0.9115616,1.036116052,0.78501374,4.461922368,0.831762,0.580065516,0.460737179,0.844751603,0.943509615,0.947516026,0.729106319,0.151277737,,"[[[[Premise]]]]: One [[kid]] walking across the street, another on sidewalk.>>>>[[[[Hypothesis]]]]: Women separate after lunch.","[[[[Premise]]]]: One [[woman]] walking across the street, another on sidewalk.>>>>[[[[Hypothesis]]]]: Women separate after lunch.",3.3333333333333335,1.6666666666666667,2.0,5.0
bae,snli,312,1,2,0.894225554,0.959722222,0.9643434,0.94995517,0.776660632,0.84999657,3.539207,0.9386921,0.35016564,0.461939103,0.845753205,0.928285256,0.922275641,0.889779764,0.223358754,,[[[[Premise]]]]: A man with a tattoo on his left arm flips his food into the air with his frying [[dog]].>>>>[[[[Hypothesis]]]]: a man using a frying pan,[[[[Premise]]]]: A man with a tattoo on his left arm flips his food into the air with his frying [[pan]].>>>>[[[[Hypothesis]]]]: a man using a frying pan,1.0,1.6666666666666667,0.0,3.0
bae,snli,175,0,2,0.90251398,0.959722222,0.95274574,0.97257656,0.548495757,0.98155093,1.12885156,0.9718403,0.237317167,0.458834135,0.844851763,0.925480769,0.92588141,0.943766773,0.282520687,,[[[[Premise]]]]: A man in a lab coat looking into a microscope with containers in the background.>>>>[[[[Hypothesis]]]]: A man in a lab coat [[showing]] a lady's blood.,[[[[Premise]]]]: A man in a lab coat looking into a microscope with containers in the background.>>>>[[[[Hypothesis]]]]: A man in a lab coat [[takes]] a lady's blood.,1.6666666666666667,3.0,0.0,3.0
bae,snli,107,0,1,0.80032032,0.920940171,0.92640257,0.79536355,1.482791199,0.9004683,3.510408799,0.8592343,0.530595502,0.459835737,0.841646635,0.869391026,0.860576923,0.73051303,0.139760188,,[[[[Premise]]]]: A greyhound jumps over a chain.>>>>[[[[Hypothesis]]]]: A dog is [[secured]] under a chain.,[[[[Premise]]]]: A greyhound jumps over a chain.>>>>[[[[Hypothesis]]]]: A dog is [[sleeping]] under a chain.,2.5,2.0,2.0,3.3333333333333335
alzantot,snli,295,2,0,0.603943516,0.825432099,0.92637146,0.8712708,1.250952987,0.77570444,4.444297216,0.83522165,0.574070371,0.462940705,0.844751603,0.898637821,0.900240385,0.825501788,0.15270988,,[[[[Premise]]]]: A [[men]] in black reading a [[cookbook]] for a group of [[citizens]].>>>>[[[[Hypothesis]]]]: The man is reading for children.,[[[[Premise]]]]: A [[man]] in black reading a [[book]] for a group of [[people]].>>>>[[[[Hypothesis]]]]: The man is reading for children.,3.5,3.0,2.0,3.3333333333333335
pso,snli,146,1,0,0.894225554,0.958018273,0.9577716,0.9935472,0.282072675,0.90732247,2.448698652,0.9627105,0.273091866,0.463040865,0.845252404,0.918669872,0.920673077,0.79742403,0.199320291,,[[[[Premise]]]]: A group of people wearing hats and using walking sticks are walking through a wooded area on a trail.>>>>[[[[Hypothesis]]]]: A [[shovelful]] of people outdoors.,[[[[Premise]]]]: A group of people wearing hats and using walking sticks are walking through a wooded area on a trail.>>>>[[[[Hypothesis]]]]: A [[bunch]] of people outdoors.,1.6666666666666667,2.6666666666666665,1.0,3.6666666666666665
pso,snli,226,1,0,0.913202701,0.949930748,0.9585936,0.940752,0.749448204,0.96376354,1.97918563,0.9527526,0.30740007,0.46484375,0.844350962,0.915064103,0.921474359,0.788726908,0.24064936,,[[[[Premise]]]]: An indian man walks past a temple on his way to pray.>>>>[[[[Hypothesis]]]]: An indian is on his way to [[salute]].,[[[[Premise]]]]: An indian man walks past a temple on his way to pray.>>>>[[[[Hypothesis]]]]: An indian is on his way to [[worship]].,2.0,2.6666666666666665,2.0,2.6666666666666665
alzantot,snli,230,2,0,0.72768172,0.936388889,0.87247944,0.95023996,0.784414578,0.75104725,5.279301461,0.93486327,0.36093428,0.465945513,0.84364984,0.844150641,0.837339744,0.921557504,0.180267945,,[[[[Premise]]]]: Four girls and a lady learning how to do some [[handicraft]].>>>>[[[[Hypothesis]]]]: [[Craftsmanship]] are being done poorly.,[[[[Premise]]]]: Four girls and a lady learning how to do some [[crafts]].>>>>[[[[Hypothesis]]]]: [[Crafts]] are being done poorly.,4.0,2.6666666666666665,2.0,2.6666666666666665
pso,snli,380,0,1,0.857106112,0.894645784,0.9067997,0.8696594,1.298495321,0.937442,2.389138658,0.8486115,0.550251779,0.465745192,0.809795673,0.748397436,0.735977564,0.771465123,0.181647599,,[[[[Premise]]]]: A man playing a banjo near a tree at an outdoor event.>>>>[[[[Hypothesis]]]]: The man is playing a [[instrument]] [[also]].,[[[[Premise]]]]: A man playing a banjo near a tree at an outdoor event.>>>>[[[[Hypothesis]]]]: The man is playing a [[cello]] [[inside]].,2.3333333333333335,2.6666666666666665,1.0,3.75
pso,snli,376,1,0,0.908654961,0.947287199,0.9559955,0.91055864,1.133840521,0.944654,2.313392179,0.9340146,0.363277948,0.46083734,0.845352564,0.802083333,0.800480769,0.873130876,0.207106833,,[[[[Premise]]]]: A smiling woman is playing the violin in front of a turquoise background.>>>>[[[[Hypothesis]]]]: A woman is playing an [[drumstick]].,[[[[Premise]]]]: A smiling woman is playing the violin in front of a turquoise background.>>>>[[[[Hypothesis]]]]: A woman is playing an [[instrument]].,2.25,3.0,0.0,2.6666666666666665
pso,snli,114,0,2,0.67057668,0.789386095,0.8225599,0.817464,1.418764157,0.8002851,3.835142005,0.8638134,0.521893933,0.460136218,0.844150641,0.840544872,0.828926282,0.742445737,0.230575085,,[[[[Premise]]]]: Three people in coats stand in front of a blue building.>>>>[[[[Hypothesis]]]]: [[Crowds]] are [[scrunching]] down [[fortuitously]].,[[[[Premise]]]]: Three people in coats stand in front of a blue building.>>>>[[[[Hypothesis]]]]: [[People]] are [[sitting]] down [[outside]].,3.0,2.5,0.0,3.0
bae,snli,4,2,0,0.878741909,0.951904762,0.93524575,0.9762154,0.585632306,0.9717345,1.485085727,0.9504073,0.314937147,0.466646635,0.844751603,0.939903846,0.934695513,0.895745665,0.20671563,,[[[[Premise]]]]: A person in a yellow slicker is driving a motorboat next to the beach.>>>>[[[[Hypothesis]]]]: A fisherman [[enters]] home for the night.,[[[[Premise]]]]: A person in a yellow slicker is driving a motorboat next to the beach.>>>>[[[[Hypothesis]]]]: A fisherman [[heading]] home for the night.,2.0,3.6666666666666665,2.0,3.6666666666666665
pso,snli,396,0,1,0.597928591,0.767166941,0.9325311,0.9139773,1.00750685,0.9259112,2.36975593,0.883412,0.482883098,0.459835737,0.844150641,0.895032051,0.873798077,0.810505718,0.231302019,,[[[[Premise]]]]: A man is reading a newspaper in a car dealership.>>>>[[[[Hypothesis]]]]: A [[human]] is [[seeing]] a [[periodical]] at the [[clinic]].,[[[[Premise]]]]: A man is reading a newspaper in a car dealership.>>>>[[[[Hypothesis]]]]: A [[man]] is [[reading]] a [[magazine]] at the [[hospital]].,3.6666666666666665,2.25,0.0,3.5
