attack_method,dataset,number,ground_truth,software_output,BLEU,Meteor,BERTScore,InferSent,InferSent_dis,SBERT,SBERT_dis,SimCSE,SimCSE_dis,NC,NBC,TKNC,BKNC,SemEval,SynEval,,adv_text,ori_text,consistency,fluency,label,difficulty
pso,yelp,217,0,1,0.809642722,0.915504477,0.91909224,0.959312,0.68172932,0.959604,1.410495995,0.970659,0.242243625,0.445112179,0.837139423,0.603365385,0.575721154,0.900402093,0.227220989,,"It was OK, nothing [[idiosyncratic]].  The portions were [[exquisitely]] good, but overall, I felt it was on the pricey side for what was offered.","It was OK, nothing [[special]].  The portions were [[pretty]] good, but overall, I felt it was on the pricey side for what was offered.",4.5,5.0,0.0,4.0
bae,yelp,211,0,1,0.951923658,0.979245066,0.9837721,0.9871648,0.669768815,1,0,1,0,0.449419071,0.843950321,0.770432692,0.776842949,0.761429447,0.184845117,,"Much of my criticism and compliments have already been detailed very nicely by others, so I will just summarize in bullet points.  1. Great location for walkers, inconvenient for those driving from other neighborhoods. Given that it is geared toward the neighborhood and repeat customer base... (see number 2) 2. Very limited menu selection. Literally turned the menu over to see what was on the back, only to find it empty, thought to myself, 'is this a kids' menu?' Turns out that is what everyone at the table was thinking too. 3. In response to my request for a drink list, our server replied, ""We have every beer you can think of in bottle."" [[l]]. Who wants to play the game, ""Do you have {insert beer}"" [[when]] in a noisy crowded restaurant? Write it down or memorize it and be able to tell me all of them. 4. A basket of individually wrapped saltine crackers like one would find at a salad bar is [[becoming]] an acceptable bread item to serve with hot crab dip. Just cut the carrots and celery into adult [[good]] size, give enough of them, and/or add some nice crostini. 5. The [[seafood]] chowder is very good. 6. The shrimp fritters are pretty good.  I am interested to see if the owners read their own reviews and improve the quality of food and service. It really is a great location, and I so eagerly awaited their opening.","Much of my criticism and compliments have already been detailed very nicely by others, so I will just summarize in bullet points.  1. Great location for walkers, inconvenient for those driving from other neighborhoods. Given that it is geared toward the neighborhood and repeat customer base... (see number 2) 2. Very limited menu selection. Literally turned the menu over to see what was on the back, only to find it empty, thought to myself, 'is this a kids' menu?' Turns out that is what everyone at the table was thinking too. 3. In response to my request for a drink list, our server replied, ""We have every beer you can think of in bottle."" [[False]]. Who wants to play the game, ""Do you have {insert beer}"" [[repeatedly]] in a noisy crowded restaurant? Write it down or memorize it and be able to tell me all of them. 4. A basket of individually wrapped saltine crackers like one would find at a salad bar is [[NOT]] an acceptable bread item to serve with hot crab dip. Just cut the carrots and celery into adult [[human]] size, give enough of them, and/or add some nice crostini. 5. The [[clam]] chowder is very good. 6. The shrimp fritters are pretty good.  I am interested to see if the owners read their own reviews and improve the quality of food and service. It really is a great location, and I so eagerly awaited their opening.",2.0,2.0,0.0,2.0
bae,yelp,241,0,1,0.678107608,0.862014358,0.9127711,0.9442612,0.952300908,0.96701676,1.225928837,0.97924674,0.20373174,0.451121795,0.84385016,0.511217949,0.510016026,0.869535077,0.17741494,,"[[originally]], I decided to try the Flatizza, BIG MISTAKE. Had [[more]] pizza sauce on it to [[become]] a large real pizza. The flatbread was so [[great]] I couldn't [[take]] it and the cheese was cheddar not [[cheese]].","[[So]], I decided to try the Flatizza, BIG MISTAKE. Had [[enough]] pizza sauce on it to [[make]] a large real pizza. The flatbread was so [[hard]] I couldn't [[eat]] it and the cheese was cheddar not [[mozzarella]].",1.5,2.25,0.0,3.5
bae,yelp,43,0,1,0.777293517,0.897519968,0.9383799,0.98623955,0.66824611,0.98121023,0.763877354,0.98594224,0.167677396,0.447315705,0.841746795,0.669070513,0.665464744,0.880012289,0.193215184,,"I think the hype is what killed it for me.  [[knowing]] seen Nora's on [[tv]] and reading all the positive reviews, I [[tasted]] the best Italian food in town.  Especially since ""this is where all the chefs [[used]] to eat"", as per the [[food]] Network.  [[us]] wanted to order the pasta [[things]] but the bartender insisted we order the house special pork chops.  So it was fried calamari, some kinda fried risotto balls with saffron, and the aforementioned pork chops.  The calamari was typically mediocre, the same kind you'd get at Cheesecake Factory and the like.  [[all]] risotto balls were [[fresh]], though there wasn't much cheese or saffron in it.  We [[acted]] like tools for listening to the bartender about the pork chops [[before]].  [[she]] [[reminiscent]] me of Kitchen Confidential where the chefs try to [[wipe]] out the last of old meats on the customers.  [[like]] [[usual]] the garlic bread was good, but they [[get]] you for any additional baskets beyond the first.  This place just seems like an [[excellent]] Olive Garden, [[lacking]] the unlimited salads and breadsticks.","I think the hype is what killed it for me.  [[Having]] seen Nora's on [[TV]] and reading all the positive reviews, I [[expected]] the best Italian food in town.  Especially since ""this is where all the chefs [[go]] to eat"", as per the [[Food]] Network.  [[We]] wanted to order the pasta [[puttanesca]] but the bartender insisted we order the house special pork chops.  So it was fried calamari, some kinda fried risotto balls with saffron, and the aforementioned pork chops.  The calamari was typically mediocre, the same kind you'd get at Cheesecake Factory and the like.  [[The]] risotto balls were [[decent]], though there wasn't much cheese or saffron in it.  We [[felt]] like tools for listening to the bartender about the pork chops [[though]].  [[It]] [[reminded]] me of Kitchen Confidential where the chefs try to [[push]] out the last of old meats on the customers.  [[At]] [[least]] the garlic bread was good, but they [[charge]] you for any additional baskets beyond the first.  This place just seems like an [[overpriced]] Olive Garden, [[minus]] the unlimited salads and breadsticks.",4.0,2.5,0.0,3.0
pso,yelp,85,1,0,0.937001145,0.97360732,0.98887384,0.9737622,0.661899286,0.9750227,0.984601995,0.9672042,0.256108965,0.448617788,0.841145833,0.701522436,0.706730769,0.836740607,0.191597206,,"The patio is great for peolple watching and the beer is [[raw]].  I see some here who didn't like the food, but it never crossed my mind to ever eat there.  Just drink and have a good time","The patio is great for peolple watching and the beer is [[cold]].  I see some here who didn't like the food, but it never crossed my mind to ever eat there.  Just drink and have a good time",2.75,3.25,1.0,2.0
bae,yelp,39,1,0,0.964760323,0.981732804,0.9918596,0.99691683,0.311273794,1.0000001,0,1.0000001,0,0.447015224,0.842347756,0.659455128,0.653044872,0.834353411,0.236151017,,"My boyfriend and I were staying at a hotel about 5 minutes away from La Banquise. Everytime we walked past - day or night - a long line of people would be snaking it's way from the door and spilling out onto the street. An investigation was in order. We got in line and took the time to look around and find out what we could about the place. The answer? Poutine, poutine, poutine. When we were finally seated, a menu with an impossibly long list of poutine variations was set before us. We ordered the classic and pizza poutines along with some local beer. The food arrived quickly and our poutine fest began. Fries drenched in gravy and topped with melting cheese curds... yum. The pizza poutine (classic poutine + green pepper + mushrooms + pepperoni) was good although I think I liked the classic better. There is already a lot going on with poutine, [[responding]] to it is unnecessary if you ask me. All in all [[we]] really [[liked]] our meal.","My boyfriend and I were staying at a hotel about 5 minutes away from La Banquise. Everytime we walked past - day or night - a long line of people would be snaking it's way from the door and spilling out onto the street. An investigation was in order. We got in line and took the time to look around and find out what we could about the place. The answer? Poutine, poutine, poutine. When we were finally seated, a menu with an impossibly long list of poutine variations was set before us. We ordered the classic and pizza poutines along with some local beer. The food arrived quickly and our poutine fest began. Fries drenched in gravy and topped with melting cheese curds... yum. The pizza poutine (classic poutine + green pepper + mushrooms + pepperoni) was good although I think I liked the classic better. There is already a lot going on with poutine, [[adding]] to it is unnecessary if you ask me. All in all [[I]] really [[enjoyed]] our meal.",4.333333333333333,5.0,1.0,5.0
bae,yelp,167,0,1,0.977063548,0.988336607,0.9880852,0.9988332,0.210099764,0.9833106,0.733948516,0.9855495,0.170002982,0.44921875,0.841746795,0.767227564,0.766025641,0.901357758,0.187556311,,"Okay, I [[have]] to [[love]] it more than I do but.....well, lets just dig into the review. First, know that I went there for lunch on a Saturday, not in the evening when it is in full swing, so maybe I missed part of the ambiance but honestly, I went there to try the food.   First, I had the olives appetizer and based just on that, this place [[have]] be amazing. It was a small plate full of big, meaty, green olives, obviously warmed in a bath of live oil and served with a light [[hint]] of salt and oh, so good. I would go back just for these. But, an appetizer does not a meal make so lets go on to the main course and side dish.   For lunch I had some sort of pasta which was advertised to have anchovies, lemon, and if i remember correctly, hot pepper. I also ordered a side of braised greens. The pasta, when it was served, came in a large white bowl and honestly, when I order a pasta dish over $10, I prefer it to be well...plated, on a plate. The dish also contained sauteed fennel which, while not unpleasant, was not expected, and it seemed, it was a bit dry. As for the braised greens, also served in a large white bowl and that was it, just the braised greens. Some cracked black pepper and some shaving of hard cheese, would definitely have helped round out the side dish (though at $3 I can't complain too much but make it $4 and bump it up a bit).   Finally, the decor, nothing really stands out. Sen, right next door, has much more of an artistic edge so maybe they could kick up the look of the place a bit. So, take the review for what it is and if nothing else, go in the evening for a glass of wine and the olive appetizer (a steal at $5) but overall, it did not wow me as much as I expected from all the write-ups.","Okay, I [[want]] to [[like]] it more than I do but.....well, lets just dig into the review. First, know that I went there for lunch on a Saturday, not in the evening when it is in full swing, so maybe I missed part of the ambiance but honestly, I went there to try the food.   First, I had the olives appetizer and based just on that, this place [[would]] be amazing. It was a small plate full of big, meaty, green olives, obviously warmed in a bath of live oil and served with a light [[sprinkle]] of salt and oh, so good. I would go back just for these. But, an appetizer does not a meal make so lets go on to the main course and side dish.   For lunch I had some sort of pasta which was advertised to have anchovies, lemon, and if i remember correctly, hot pepper. I also ordered a side of braised greens. The pasta, when it was served, came in a large white bowl and honestly, when I order a pasta dish over $10, I prefer it to be well...plated, on a plate. The dish also contained sauteed fennel which, while not unpleasant, was not expected, and it seemed, it was a bit dry. As for the braised greens, also served in a large white bowl and that was it, just the braised greens. Some cracked black pepper and some shaving of hard cheese, would definitely have helped round out the side dish (though at $3 I can't complain too much but make it $4 and bump it up a bit).   Finally, the decor, nothing really stands out. Sen, right next door, has much more of an artistic edge so maybe they could kick up the look of the place a bit. So, take the review for what it is and if nothing else, go in the evening for a glass of wine and the olive appetizer (a steal at $5) but overall, it did not wow me as much as I expected from all the write-ups.",4.333333333333333,2.5,0.0,2.3333333333333335
bae,yelp,316,1,0,0.815047884,0.922265508,0.97214735,0.98780626,0.614415673,0.9870164,0.642200914,0.98915803,0.147254732,0.44541266,0.842748397,0.677483974,0.680288462,0.893747419,0.195974126,,"We went to our first show at the Orpheum [[theatre]] last night.  [[you]] thought the [[theatre]] was absolutely beautiful. I [[like]] the [[whole]] architecture. It felt old but stately. It's got tons of character and I found myself taking pictures everywhere. The sound was wonderful as well.    We [[noticed]] Jake Shimabukuro, ukulele virtuoso, there. It was a perfect venue for him. [[just]] [[cool]], stately, quiet with great acoustics. It really [[praised]] his performance.  I found out it was built from 1927-1929 in Spanish Midieval and Baroque styles. After a while, it was turned into a movie theater and remained that for years and years. They painted the murals and moldings black during the movie era. [[into]] the late 80s they [[mounted]] a renovation on it which was completed in 1997. [[it]] brought back much of the original design (moldings, murals, etc.)  Now it's just [[okay]]. Anytime I see something interesting playing there, the theatre itself will definitely add to the draw. [[cannot]] wait to head back!","We went to our first show at the Orpheum [[Theatre]] last night.  [[I]] thought the [[theater]] was absolutely beautiful. I [[loved]] the [[intricate]] architecture. It felt old but stately. It's got tons of character and I found myself taking pictures everywhere. The sound was wonderful as well.    We [[saw]] Jake Shimabukuro, ukulele virtuoso, there. It was a perfect venue for him. [[So]] [[beautiful]], stately, quiet with great acoustics. It really [[highlighted]] his performance.  I found out it was built from 1927-1929 in Spanish Midieval and Baroque styles. After a while, it was turned into a movie theater and remained that for years and years. They painted the murals and moldings black during the movie era. [[In]] the late 80s they [[started]] a renovation on it which was completed in 1997. [[They]] brought back much of the original design (moldings, murals, etc.)  Now it's just [[wonderful]]. Anytime I see something interesting playing there, the theatre itself will definitely add to the draw. [[Can't]] wait to head back!",4.5,4.0,1.0,4.666666666666667
checklist,yelp,395,1,0,0.940090644,0.965623676,0.99168515,0.9962604,0.3329103,0.9607357,1.052187246,0.97383857,0.228741851,0.451622596,0.832932692,0.801282051,0.804086538,0.833423439,0.227774783,,"I really like Terrace, and I like that they are locally owned and operated. While I cut my teeth at the Piedmont Row location, I found this Ballantyne restaurant to be fulfilling as well.  The space was once something else...and I ate there once. It [[was]] [[not]] very memorable. So I was super excited to see that [[Dorien]] was moving in.   Having been for dinner ([[1]] stars), I direct my attention to their extensive breakfast and brunch offerings ([[2]] stars). I have had several menu items here, but the standouts are:  * Oatmeal (so, so good) * Omelette with tomato, spinach and mozz (if they feel like letting me have mozz that day, since it's not on the omelette menu) * RED VELVET WAFFLE (not for the faint of heart. quite sweet.) * Blueberry pancakes   I appreciate that they're trying to do the dinner thing, but it's just not happening. I'd recommend going for breakfast/lunch (they serve breakfast every day until 2:[[50]]).   I'm getting hungry... Who wants to meet me for lunch?","I really like Terrace, and I like that they are locally owned and operated. While I cut my teeth at the Piedmont Row location, I found this Ballantyne restaurant to be fulfilling as well.  The space was once something else...and I ate there once. It [[wasn't]] very memorable. So I was super excited to see that [[Terrace]] was moving in.   Having been for dinner ([[3]] stars), I direct my attention to their extensive breakfast and brunch offerings ([[5]] stars). I have had several menu items here, but the standouts are:  * Oatmeal (so, so good) * Omelette with tomato, spinach and mozz (if they feel like letting me have mozz that day, since it's not on the omelette menu) * RED VELVET WAFFLE (not for the faint of heart. quite sweet.) * Blueberry pancakes   I appreciate that they're trying to do the dinner thing, but it's just not happening. I'd recommend going for breakfast/lunch (they serve breakfast every day until 2:[[30]]).   I'm getting hungry... Who wants to meet me for lunch?",1.5,2.0,1.0,3.0
bae,yelp,306,0,1,0.715230843,0.872005715,0.88711035,0.95202684,1.023053494,0.91505086,1.557809484,0.9257922,0.385247548,0.444811699,0.835136218,0.612179487,0.618990385,0.830236346,0.17410545,,"[[my]] [[gone]] to [[work]] this weekend to [[do]] an oil change and car wash and [[my]] [[hired]] for a VIP car wash.   After picking up my car I was [[worried]] that there was still dirt on my car floor.  [[he]] later noticed that money I had in my car for parking was missing.  [[looked]] [[too]] upset that I paid for these services, tipped the staff, and had my property stolen.  [[got]] been going to Danny's on and off for [[awhile]] as they are close to my home but I will [[always]] frequent their establishment again.","[[I]] [[went]] to [[Danny's]] this weekend to [[get]] an oil change and car wash and [[I]] [[paid]] for a VIP car wash.   After picking up my car I was [[disappointed]] that there was still dirt on my car floor.  [[I]] later noticed that money I had in my car for parking was missing.  [[I'm]] [[highly]] upset that I paid for these services, tipped the staff, and had my property stolen.  [[I've]] been going to Danny's on and off for [[years]] as they are close to my home but I will [[never]] frequent their establishment again.",4.0,1.5,0.0,4.0
